City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
yvetot,49.617779,0.755212,60.78,82,0,8.05
aitape,-3.1538273,142.3639991,77.37,100,92,7.18
mataura,-46.1934288,168.8660155,47.58,100,88,5.73
ahipara,-35.17133889999999,173.1532718,56.85,87,76,9.31
bentiu,9.231487,29.8005027,62.52,61,20,5.73
ishigaki,24.4064027,124.1754442,89.6,79,75,11.41
bojnurd,37.4702063,57.31433479999999,63.78,51,0,2.48
tarabuco,-19.1828336,-64.91532339999999,49.29,98,92,2.93
sorong,-0.8761629000000001,131.255828,80.52,100,92,12.44
bambous virieux,-20.3438619,57.7636821,66.2,88,20,6.93
ucluelet,48.9415997,-125.5463446,56.22,93,92,2.15
barroualie,13.2326269,-61.265623,83.66,79,75,4.7
vaitupu,-7.476732699999999,178.6747675,64.4,100,5,2.24
wladyslawowo,54.79074,18.403,64.4,93,0,5.82
athabasca,54.72140940000001,-113.2861822,68.1,71,24,6.06
kisangani,0.5185303,25.2007728,69.81,98,0,2.26
guangyuan,32.435435,105.843357,77.01,89,56,2.93
tiksi,71.6374819,128.8644717,58.74,78,0,4.94
grand centre,54.4131673,-110.2136806,44.52,99,48,0.92
nanortalik,60.1424955,-45.2394951,40.83,95,0,10.87
constitucion,-35.33330000000001,-72.41669999999999,78.8,19,75,6.93
mount isa,-20.7255748,139.4927085,71.6,30,40,17.22
quatre cocos,-20.201639,57.7743197,66.2,88,20,6.93
ozernovskiy,51.478916,156.525864,55.5,100,92,3.38
college,37.6694426,-95.4638659,65.05,68,90,4.7
codrington,17.6425736,-61.8204456,65.85,70,0,4.94
amstelveen,52.3114207,4.870087,59.56,93,0,1.12
falealupo,-13.4993052,-172.7872919,67.02,91,32,1.7
gushikawa,26.3577675,127.8691991,86.61,84,75,16.11
najran,17.5656036,44.2289441,86.0,27,0,8.05
castro,37.7609082,-122.4350043,46.95,99,92,7.96
hasaki,40.72969990000001,-73.98881349999999,88.12,66,40,8.05
alingsas,57.9300205,12.5362113,58.05,87,0,3.36
hobart,-42.8821377,147.3271949,57.2,44,75,1.12
casa grande,32.9110027,-111.7733902,94.5,48,40,14.99
geraldton,-28.7773715,114.6149715,59.0,58,20,4.7
luderitz,-26.6420382,15.1639082,48.12,93,8,5.17
faya,17.9236623,19.1107114,68.0,88,75,8.05
new norfolk,-42.7828332,147.0593848,57.2,44,75,1.12
talcahuano,-36.7247834,-73.1169808,50.0,93,90,14.99
tsogni,-2.7404898,10.0303723,69.9,100,92,7.74
old road,33.1600123,-105.7902929,73.38,65,40,6.93
